Station,Latitude,Longitude
Kriging_Andheri,19.07283,72.88261
Kriging_B ward,19.07283,72.88261
Kriging_Bandra,19.07283,72.88261
Kriging_Bhagawati Hospital,19.07283,72.88261
Kriging_Bhandup,19.07283,72.88261
Kriging_BKC 1,19.07283,72.88261
Kriging_BMC 1,19.07283,72.88261
Kriging_BMC 2,19.07283,72.88261
Kriging_Borivali,19.07283,72.88261
Kriging_Britania Pumping,19.07283,72.88261
Kriging_Byculla,18.96667,72.83333
Kriging_C ward,19.07283,72.88261
Kriging_Chembur,19.07283,72.88261
Kriging_Chincholi,19.07283,72.88261
Kriging_CIDM,19.07283,72.88261
Kriging_Colaba Pumping,19.07283,72.88261
Kriging_Colaba,18.90694,72.81056
Kriging_Cooper Hospital,19.07283,72.88261
Kriging_CWD WorkShop,19.07283,72.88261
Kriging_D Ward,19.07283,72.88261
Kriging_Dadar,19.07283,72.88261
Kriging_Dahisar,19.07283,72.88261
Kriging_Deonar,19.07283,72.88261
Kriging_Dharavi,19.05,72.86667
Kriging_Dindoshi,19.07283,72.88261
Kriging_F North,19.07283,72.88261
Kriging_F South,19.07283,72.88261
Kriging_Frosberry pumping,19.07283,72.88261
Kriging_G South,19.07283,72.88261
Kriging_Gowanpada,19.07283,72.88261
Kriging_Goregaon,19.07283,72.88261
Kriging_Grant Road Eye,19.07283,72.88261
Kriging_Gowalia Tank,19.07283,72.88261
Kriging_H East ,19.07283,72.88261
Kriging_H West ward,19.07283,72.88261
Kriging_HajiAli Pumping,19.07283,72.88261
Kriging_HBT Trauma,19.07283,72.88261
Kriging_IMD Colaba,18.90694,72.81056
Kriging_K East ward,19.07283,72.88261
Kriging_K West ward,19.07283,72.88261
Kriging_Kandivali,19.07283,72.88261
Kriging_Kurla Bhabha,19.07283,72.88261
Kriging_Kurla,19.07283,72.88261
Kriging_KEM hospital,19.07283,72.88261
Kriging_L ward,19.07283,72.88261
Kriging_ME ward,19.07283,72.88261
Kriging_M West ward,19.07283,72.88261
Kriging_Malad,19.07283,72.88261
Kriging_Malbar Hill,19.07283,72.88261
Kriging_Malvani,19.07283,72.88261
Kriging_Mandavi,19.07283,72.88261
Kriging_Marol,19.07283,72.88261
Kriging_MCGM 1,19.07283,72.88261
Kriging_MCGM,19.07283,72.88261
Kriging_Memonwada,19.07283,72.88261
Kriging_Mulund,19.07283,72.88261
Kriging_N ward,19.07283,72.88261
Kriging_Nair Hospital,19.07283,72.88261
Kriging_Nariman Fire,19.07283,72.88261
Kriging_Octroi Mankhurd,19.07283,72.88261
Kriging_octroi panvel,19.07283,72.88261
Kriging_PN Ward,19.07283,72.88261
Kriging_PS Ward,19.07283,72.88261
Kriging_Powai,19.07283,72.88261
Kriging_Rawali camp,19.07283,72.88261
Kriging_S ward,19.07283,72.88261
Kriging_SWD Workshop dadar,19.07283,72.88261
Kriging_SWM Dadar,19.07283,72.88261
Kriging_SWM Santacruz,19.07283,72.88261
Kriging_Thakare natya,19.07283,72.88261
Kriging_Versova pumping,19.07283,72.88261
Kriging_Vikroli Building Proposal,19.07283,72.88261
Kriging_Vikhroli,19.07283,72.88261
Kriging_vileparle W,19.07283,72.88261
Kriging_Vileparle-WL,19.07283,72.88261
Kriging_Wadala,19.01667,72.85
Kriging_Worli Data Center,19.07283,72.88261
Kriging_Workshop Kandivali,19.07283,72.88261
Kriging_Worli,19.01667,72.81667
